asset,family,params,train_return_pct,holdout_return_pct,full_sharpe,full_max_drawdown_pct
ETH,vol_target_momentum,"mom=60,slow=200,vol=0.35",27.65999173513314,68.96412101536484,0.7718997034828856,-23.11473026797265
ETH,vol_target_momentum,"mom=60,slow=200,vol=0.45",33.09815208512019,90.92508343361168,0.7746018015480702,-28.488753178433825
ETH,vol_target_momentum,"mom=60,slow=250,vol=0.25",-0.08129571246662248,28.06571583698405,0.38126183673423863,-26.95702513816931
ETH,vol_target_momentum,"mom=60,slow=250,vol=0.35",1.1365710948851637,38.60001060547471,0.4077552472366791,-34.19193636639589
ETH,vol_target_momentum,"mom=60,slow=250,vol=0.45",0.6652141981284831,48.0879550982811,0.41832409179558677,-40.10583113642608
ETH,vol_target_momentum,"mom=90,slow=150,vol=0.25",-5.053302621443545,43.55553954019447,0.44499841944854857,-25.588979814053936
ETH,vol_target_momentum,"mom=90,slow=150,vol=0.35",-6.947696248913848,62.226848048824635,0.4612942159953632,-33.39208268400835
ETH,vol_target_momentum,"mom=90,slow=150,vol=0.45",-8.51561662381316,79.63310749395409,0.4762591119926977,-39.0147971139159
ETH,vol_target_momentum,"mom=90,slow=200,vol=0.25",-9.344788824608408,41.24060781404,0.37200570147693507,-28.95227601400717
ETH,vol_target_momentum,"mom=90,slow=200,vol=0.35",-12.563809220839794,58.4830256188422,0.38989536603031666,-37.41216142888254
ETH,vol_target_momentum,"mom=90,slow=200,vol=0.45",-14.173627999632144,74.18922316044699,0.41406871279379925,-42.78653343602906
ETH,vol_target_momentum,"mom=90,slow=250,vol=0.25",-15.024757516110299,34.47822589162306,0.2412448566831919,-33.403744855242934
ETH,vol_target_momentum,"mom=90,slow=250,vol=0.35",-20.031825885007105,47.98411665873243,0.2592248568914088,-42.75785429654025
ETH,vol_target_momentum,"mom=90,slow=250,vol=0.45",-23.93306957368463,59.52525557455202,0.27728498345842795,-49.29235992229465
ETH,vol_target_momentum,"mom=120,slow=150,vol=0.25",14.19516372901195,35.11066772901161,0.6016785974172764,-17.9650276643737
ETH,vol_target_momentum,"mom=120,slow=150,vol=0.35",19.06144742623286,49.336995007837345,0.6081829699520844,-24.617007706267245
ETH,vol_target_momentum,"mom=120,slow=150,vol=0.45",25.134760151940228,61.2096833325604,0.6196512677283091,-31.01713657311096
